AGN			  LogM	   Fvar	   Tlag		  logL

1H0707−495		6.31	0.527	47±16		44.43
Ark564			6.27	0.213	92±65		44.36
ESO362-G18		7.65	0.131	1562±606 	44.11
IC4329A			8.3	    0.028	696±331  	44.92	
IRAS13224-3809	6.8	    0.612	299±135		45.74
IRAS13349+2438	7.7	    0.211	<370		45.72
IRAS17020+4544	6.54	0.156	128±88		44.74
IRAS18325-5926	6.4	    0.215	<153		44.48
MCG-5-23-16		7.92	0.074	1037±455 	44.30
Mrk335			7.23	0.177	193±98		45.10
MS22549−3712	7.0	    0.100	1500±850 	45.09
NGC1365			7.6	    0.234	500±120		43.99
NGC3783			7.371	0.066	172±62		44.28
NGC4051			6.13	0.400	90±30		43.26
NGC4151			7.65	0.077	880±360		44.01
NGC5506			7.4	    0.097	398±252 	 4.22
NGC5548			7.718	0.039	311±109 	44.79
NGC6860			7.6	    0.070	398±252		43.71
NGC7314			6.7	    0.223	77±31		42.98
NGC7469			 6.956	0.078	1848±1451 	45.10
PG1211+143	 	 7.61	0.118	1179±980 	46.17
PG1244+026		 7.26	0.190	726±306		44.62
REJ1034+398		  6.6	    0.170	450±200 	44.52
SWIFTJ2127.4+5654 7.18	0.137	408±127		44.55


0.16077504*logL
8.190692 - 2.580824*sqrt(x0) Fvar
0.36946422*log(Abs(x0)) + 4.987254 Tlag

(0.16077504*logL)(8.190692 - 2.580824*sqrt(F))(0.36946422*log(T) + 4.987254)

log(((62.8782461554224/mix)^6) + 2.0734332)) + 6.2843904
